sale_id,sale_date,year,month,store_name,location,store_type,product_name,category,quantity,unit_price,discount_amount,total_sales,cost_price,gross_profit,payment_method
SALE-100000,2025-05-10,2025,5,Jendol Ikorodu,Ikorodu,Superstore,GlowCare Body Scrub,Body Care,5,4200,500,20500,3000,5500,POS
SALE-100001,2024-04-11,2024,4,Justrite Akowonjo,Akowonjo,Supermarket,GlowCare Shower Gel,Bath Care,11,3800,1000,40800,2600,12200,Cash
SALE-100002,2025-05-21,2025,5,Justrite Ipaja Ayobo,Ipaja,Supermarket,GlowCare Shower Gel,Bath Care,6,3800,0,22800,2600,7200,POS
SALE-100003,2023-12-10,2023,12,GrandSquare Ikeja,Ikeja,Supermarket,GlowCare Face Cream,Skin Care,12,5200,0,62400,3600,19200,Cash
SALE-100004,2024-04-04,2024,4,Jendol Alakuko,Alakuko,Superstore,GlowCare Body Scrub,Body Care,12,4200,0,50400,3000,14400,Cash
SALE-100005,2024-04-19,2024,4,Jendol Ikorodu,Ikorodu,Superstore,GlowCare Face Cream,Skin Care,12,5200,1000,61400,3600,18200,Transfer
SALE-100006,2023-07-09,2023,7,Shoprite Festival Mall,Festac,Supermarket,GlowCare Facial Cleanser,Skin Care,7,4800,1000,32600,3300,9500,Cash
SALE-100007,2024-10-08,2024,10,Justrite Abule Egba,Abule Egba,Supermarket,GlowCare Body Lotion,Body Care,7,4500,0,31500,3200,9100,Cash
SALE-100008,2023-11-12,2023,11,Shoprite Adeniran Ogunsanya,Surulere,Supermarket,GlowCare Face Cream,Skin Care,9,5200,0,46800,3600,14400,Cash
SALE-100009,2025-06-16,2025,6,Shoprite The Palms,Lekki,Supermarket,GlowCare Facial Cleanser,Skin Care,12,4800,500,57100,3300,17500,Cash
SALE-100010,2025-02-14,2025,2,Shoprite Festival Mall,Festac,Supermarket,GlowCare Body Lotion,Body Care,4,4500,0,18000,3200,5200,POS
SALE-100011,2025-10-18,2025,10,Justrite Ogba,Ogba,Supermarket,GlowCare Face Cream,Skin Care,4,5200,0,20800,3600,6400,Cash
SALE-100012,2024-12-03,2024,12,Shoprite Adeniran Ogunsanya,Surulere,Supermarket,GlowCare Face Cream,Skin Care,12,5200,0,62400,3600,19200,POS
SALE-100013,2025-09-22,2025,9,Justrite Ipaja Ayobo,Ipaja,Supermarket,GlowCare Facial Cleanser,Skin Care,9,4800,0,43200,3300,13500,Cash
SALE-100014,2024-12-20,2024,12,Bokku Mart Agege,Agege,Retail/Wholesale,GlowCare Face Cream,Skin Care,5,5200,1000,25000,3600,7000,POS
SALE-100015,2023-08-05,2023,8,GrandSquare Ikeja,Ikeja,Supermarket,GlowCare Facial Cleanser,Skin Care,12,4800,0,57600,3300,18000,Cash
SALE-100016,2023-01-15,2023,1,Bokku Mart Agege,Agege,Retail/Wholesale,GlowCare Body Lotion,Body Care,9,4500,500,40000,3200,11200,Cash
SALE-100017,2024-10-09,2024,10,Justrite Ipaja Ayobo,Ipaja,Supermarket,GlowCare Shower Gel,Bath Care,3,3800,0,11400,2600,3600,Transfer
SALE-100018,2024-02-23,2024,2,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Shower Gel,Bath Care,5,3800,0,19000,2600,6000,Transfer
SALE-100019,2025-10-14,2025,10,Jendol Egbeda,Egbeda,Superstore,GlowCare Facial Cleanser,Skin Care,7,4800,0,33600,3300,10500,POS
SALE-100020,2025-11-22,2025,11,Justrite Akowonjo,Akowonjo,Supermarket,GlowCare Body Scrub,Body Care,3,4200,1000,11600,3000,2600,POS
SALE-100021,2025-08-18,2025,8,Shoprite Festival Mall,Festac,Supermarket,GlowCare Body Scrub,Body Care,14,4200,500,58300,3000,16300,Cash
SALE-100022,2025-10-25,2025,10,Jendol Alakuko,Alakuko,Superstore,GlowCare Shower Gel,Bath Care,9,3800,500,33700,2600,10300,Transfer
SALE-100023,2025-06-10,2025,6,Bokku Mart Agege,Agege,Retail/Wholesale,GlowCare Shower Gel,Bath Care,7,3800,0,26600,2600,8400,Cash
SALE-100024,2023-04-06,2023,4,Shoprite The Palms,Lekki,Supermarket,GlowCare Body Scrub,Body Care,7,4200,500,28900,3000,7900,Cash
SALE-100025,2024-06-24,2024,6,Shoprite The Palms,Lekki,Supermarket,GlowCare Body Scrub,Body Care,7,4200,500,28900,3000,7900,Transfer
SALE-100026,2024-07-31,2024,7,Jendol Alakuko,Alakuko,Superstore,GlowCare Body Scrub,Body Care,14,4200,0,58800,3000,16800,Cash
SALE-100027,2024-10-07,2024,10,GrandSquare Ikeja,Ikeja,Supermarket,GlowCare Facial Cleanser,Skin Care,12,4800,1000,56600,3300,17000,POS
SALE-100028,2023-07-09,2023,7,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Body Lotion,Body Care,9,4500,500,40000,3200,11200,POS
SALE-100029,2024-09-24,2024,9,Shoprite The Palms,Lekki,Supermarket,GlowCare Body Scrub,Body Care,9,4200,500,37300,3000,10300,Transfer
SALE-100030,2024-12-10,2024,12,Justrite Ipaja Ayobo,Ipaja,Supermarket,GlowCare Shower Gel,Bath Care,9,3800,0,34200,2600,10800,Cash
SALE-100031,2024-11-14,2024,11,Justrite Ipaja Ayobo,Ipaja,Supermarket,GlowCare Shower Gel,Bath Care,6,3800,1000,21800,2600,6200,Cash
SALE-100032,2024-03-17,2024,3,Shoprite The Palms,Lekki,Supermarket,GlowCare Facial Cleanser,Skin Care,14,4800,500,66700,3300,20500,POS
SALE-100033,2025-08-09,2025,8,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Shower Gel,Bath Care,1,3800,0,3800,2600,1200,POS
SALE-100034,2023-08-08,2023,8,Justrite Ogba,Ogba,Supermarket,GlowCare Body Scrub,Body Care,1,4200,0,4200,3000,1200,Transfer
SALE-100035,2025-12-12,2025,12,GrandSquare Ikeja,Ikeja,Supermarket,GlowCare Face Cream,Skin Care,6,5200,1000,30200,3600,8600,Transfer
SALE-100036,2025-04-15,2025,4,Justrite Akowonjo,Akowonjo,Supermarket,GlowCare Shower Gel,Bath Care,8,3800,500,29900,2600,9100,Cash
SALE-100037,2025-02-05,2025,2,Justrite Ogba,Ogba,Supermarket,GlowCare Body Scrub,Body Care,4,4200,0,16800,3000,4800,POS
SALE-100038,2025-09-08,2025,9,Jendol Ikorodu,Ikorodu,Superstore,GlowCare Body Lotion,Body Care,9,4500,1000,39500,3200,10700,Transfer
SALE-100039,2024-04-08,2024,4,Bokku Mart Agege,Agege,Retail/Wholesale,GlowCare Shower Gel,Bath Care,4,3800,1000,14200,2600,3800,Transfer
SALE-100040,2024-02-07,2024,2,Jendol Alakuko,Alakuko,Superstore,GlowCare Shower Gel,Bath Care,3,3800,1000,10400,2600,2600,Transfer
SALE-100041,2024-05-03,2024,5,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Face Cream,Skin Care,8,5200,0,41600,3600,12800,Transfer
SALE-100042,2024-04-17,2024,4,Shoprite Adeniran Ogunsanya,Surulere,Supermarket,GlowCare Face Cream,Skin Care,3,5200,500,15100,3600,4300,POS
SALE-100043,2024-09-15,2024,9,Jendol Egbeda,Egbeda,Superstore,GlowCare Facial Cleanser,Skin Care,12,4800,0,57600,3300,18000,POS
SALE-100044,2025-06-15,2025,6,GrandSquare Ikeja,Ikeja,Supermarket,GlowCare Body Scrub,Body Care,5,4200,1000,20000,3000,5000,Transfer
SALE-100045,2025-10-11,2025,10,Jendol Egbeda,Egbeda,Superstore,GlowCare Body Lotion,Body Care,3,4500,500,13000,3200,3400,Transfer
SALE-100046,2024-02-08,2024,2,Justrite Ipaja Ayobo,Ipaja,Supermarket,GlowCare Body Lotion,Body Care,8,4500,1000,35000,3200,9400,Transfer
SALE-100047,2023-04-14,2023,4,Shoprite The Palms,Lekki,Supermarket,GlowCare Shower Gel,Bath Care,14,3800,0,53200,2600,16800,Transfer
SALE-100048,2023-06-02,2023,6,Bokku Mart Agege,Agege,Retail/Wholesale,GlowCare Face Cream,Skin Care,14,5200,0,72800,3600,22400,POS
SALE-100049,2025-04-01,2025,4,Shoprite Festival Mall,Festac,Supermarket,GlowCare Body Scrub,Body Care,9,4200,1000,36800,3000,9800,Cash
SALE-100050,2025-03-11,2025,3,Justrite Abule Egba,Abule Egba,Supermarket,GlowCare Facial Cleanser,Skin Care,8,4800,1000,37400,3300,11000,Transfer
SALE-100051,2024-02-05,2024,2,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Facial Cleanser,Skin Care,11,4800,500,52300,3300,16000,POS
SALE-100052,2025-11-11,2025,11,Justrite Ogba,Ogba,Supermarket,GlowCare Body Scrub,Body Care,3,4200,0,12600,3000,3600,Transfer
SALE-100053,2023-01-27,2023,1,Shoprite Adeniran Ogunsanya,Surulere,Supermarket,GlowCare Body Scrub,Body Care,14,4200,0,58800,3000,16800,Transfer
SALE-100054,2025-08-17,2025,8,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Body Scrub,Body Care,12,4200,0,50400,3000,14400,Transfer
SALE-100055,2024-06-30,2024,6,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Body Lotion,Body Care,12,4500,1000,53000,3200,14600,POS
SALE-100056,2024-04-21,2024,4,Justrite Abule Egba,Abule Egba,Supermarket,GlowCare Shower Gel,Bath Care,12,3800,0,45600,2600,14400,Cash
SALE-100057,2023-10-07,2023,10,Bokku Mart Agege,Agege,Retail/Wholesale,GlowCare Body Lotion,Body Care,14,4500,0,63000,3200,18200,Transfer
SALE-100058,2024-11-30,2024,11,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Facial Cleanser,Skin Care,13,4800,0,62400,3300,19500,Transfer
SALE-100059,2023-05-08,2023,5,Shoprite Adeniran Ogunsanya,Surulere,Supermarket,GlowCare Body Lotion,Body Care,10,4500,500,44500,3200,12500,POS
SALE-100060,2024-07-23,2024,7,Shoprite Festival Mall,Festac,Supermarket,GlowCare Face Cream,Skin Care,6,5200,500,30700,3600,9100,POS
SALE-100061,2023-06-04,2023,6,Jendol Alakuko,Alakuko,Superstore,GlowCare Face Cream,Skin Care,10,5200,0,52000,3600,16000,Cash
SALE-100062,2023-09-03,2023,9,Justrite Akowonjo,Akowonjo,Supermarket,GlowCare Body Scrub,Body Care,10,4200,500,41500,3000,11500,POS
SALE-100063,2025-07-09,2025,7,Justrite Ipaja Ayobo,Ipaja,Supermarket,GlowCare Body Scrub,Body Care,12,4200,0,50400,3000,14400,Transfer
SALE-100064,2023-02-05,2023,2,Bokku Mart Agege,Agege,Retail/Wholesale,GlowCare Facial Cleanser,Skin Care,1,4800,1000,3800,3300,500,POS
SALE-100065,2024-02-04,2024,2,GrandSquare Ikeja,Ikeja,Supermarket,GlowCare Shower Gel,Bath Care,7,3800,500,26100,2600,7900,POS
SALE-100066,2025-04-13,2025,4,Justrite Akowonjo,Akowonjo,Supermarket,GlowCare Shower Gel,Bath Care,9,3800,0,34200,2600,10800,Transfer
SALE-100067,2023-05-30,2023,5,Jendol Alakuko,Alakuko,Superstore,GlowCare Face Cream,Skin Care,6,5200,0,31200,3600,9600,POS
SALE-100068,2025-04-17,2025,4,Justrite Ogba,Ogba,Supermarket,GlowCare Shower Gel,Bath Care,12,3800,0,45600,2600,14400,Cash
SALE-100069,2023-09-21,2023,9,Justrite Abule Egba,Abule Egba,Supermarket,GlowCare Facial Cleanser,Skin Care,12,4800,1000,56600,3300,17000,Cash
SALE-100070,2025-02-12,2025,2,Bokku Mart Agege,Agege,Retail/Wholesale,GlowCare Facial Cleanser,Skin Care,14,4800,500,66700,3300,20500,Transfer
SALE-100071,2025-04-02,2025,4,Justrite Ipaja Ayobo,Ipaja,Supermarket,GlowCare Facial Cleanser,Skin Care,13,4800,0,62400,3300,19500,POS
SALE-100072,2024-10-18,2024,10,Justrite Ipaja Ayobo,Ipaja,Supermarket,GlowCare Shower Gel,Bath Care,12,3800,0,45600,2600,14400,Transfer
SALE-100073,2025-01-10,2025,1,Jendol Alakuko,Alakuko,Superstore,GlowCare Body Scrub,Body Care,14,4200,500,58300,3000,16300,Transfer
SALE-100074,2025-10-09,2025,10,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Face Cream,Skin Care,10,5200,0,52000,3600,16000,Transfer
SALE-100075,2025-03-12,2025,3,Justrite Ogba,Ogba,Supermarket,GlowCare Body Lotion,Body Care,8,4500,0,36000,3200,10400,Cash
SALE-100076,2025-06-15,2025,6,Bokku Mart Agege,Agege,Retail/Wholesale,GlowCare Body Scrub,Body Care,6,4200,0,25200,3000,7200,Transfer
SALE-100077,2023-06-03,2023,6,Shoprite Festival Mall,Festac,Supermarket,GlowCare Body Scrub,Body Care,6,4200,0,25200,3000,7200,Cash
SALE-100078,2025-12-28,2025,12,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Facial Cleanser,Skin Care,5,4800,1000,23000,3300,6500,POS
SALE-100079,2024-04-18,2024,4,Justrite Abule Egba,Abule Egba,Supermarket,GlowCare Facial Cleanser,Skin Care,1,4800,0,4800,3300,1500,POS
